"","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"354",1,3.8,1,2,2,2.625,0.130434782608696,0.388888888888889,0,0.666666666666667,1.5,0.407407407407407,0.625,1,1,1,1
"355",2,7.2,1,2,3,2.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",1,4.8,1,1,3,2.5,0.0740740740740741,0.5,0,0.666666666666667,2.16666666666667,0.851851851851852,NA,NA,NA,NA,NA
"357",2,6.2,1,2,3,2.375,0.434782608695652,1.16666666666667,1,2,2.16666666666667,0.814814814814815,0.75,1,1,1,1
"358",2,2.7,1,2,4,2.83333333333333,0,0.833333333333333,0.5,3.33333333333333,4,1.51851851851852,NA,NA,1,1,NA
"359",2,7.6,1,2,3,2.57142857142857,NA,NA,NA,NA,NA,NA,0.375,0,0.375,0,0
"360",1,0.3,2,1,2,2,NA,NA,NA,NA,NA,NA,0.625,1,0.625,1,0
"361",2,10.1,1,1,4,1.83333333333333,0.0454545454545455,0.3125,1.25,0.6,1.83333333333333,0.375,0.666666666666667,1,0.375,0,0
"362",1,2.3,1,2,1,2.625,0,0.3125,0,4,0.833333333333333,0.814814814814815,0.285714285714286,0,0.5,0,1
"363",1,2.2,1,2,5,2.375,NA,NA,NA,NA,NA,NA,0.5,0,0.75,1,1
"364",1,3.1,1,1,4,2.5,0.695652173913043,1,0.857142857142857,2.33333333333333,2.66666666666667,1.37037037037037,0.75,1,0.75,1,0
"365",1,0.9,1,2,3,1.75,0,0.111111111111111,1,1.2,1.5,1.11111111111111,0.75,1,0.5,0,0
"366",1,4.8,1,2,5,2.375,NA,NA,NA,NA,NA,NA,0.25,0,0.5,0,1
"367",2,1.4,2,2,4,2.25,NA,NA,NA,NA,NA,NA,0.75,1,0.75,1,0
"368",2,1.9,2,1,2,2.625,0.304347826086957,0.470588235294118,0,2.33333333333333,1.66666666666667,0.407407407407407,0.75,1,0.875,1,1
"369",1,3.1,1,1,3,2.71428571428571,1.11111111111111,1.23076923076923,1,2.8,3.33333333333333,0.714285714285714,0.375,0,0.5,0,1
"370",2,2.1,1,1,4,2.375,0.478260869565217,1.58823529411765,1,3.16666666666667,3.5,1,0.75,1,0.5,0,0
"371",1,1.8,2,1,4,2.75,0.444444444444444,0.375,2.25,3,3.16666666666667,1.77777777777778,0.625,1,0.5,0,0
"372",1,12.6,1,2,4,2.375,0.703703703703704,0.647058823529412,1.75,2.5,3.33333333333333,1.03703703703704,0.5,0,0.625,1,1
"373",1,NA,1,2,5,3,0.576923076923077,0.277777777777778,0,2.66666666666667,2.33333333333333,0.923076923076923,0.5,0,0.625,1,1
"374",1,NA,1,2,4,2.71428571428571,0.576923076923077,1.11111111111111,0.25,1.83333333333333,1.83333333333333,0.846153846153846,0.5,0,0.625,1,1
"375",1,6.5,1,2,4,2.5,0.111111111111111,0.388888888888889,0,1,1,0.730769230769231,1,1,1,1,0
"376",2,4.5,1,1,3,2.375,0.222222222222222,0.888888888888889,0,2.16666666666667,1.33333333333333,0.333333333333333,0.625,1,0.5,0,0
"377",1,3,1,1,3,2.25,0.925925925925926,1.83333333333333,0,3.16666666666667,2.66666666666667,0.884615384615385,0.5,0,0.5,0,0
"378",1,0.7,2,1,3,2.125,1.26923076923077,2.05882352941176,0.125,1.66666666666667,1.66666666666667,0.5,0.5,0,0.5,0,0
"379",2,1.2,2,1,3,2.875,NA,NA,NA,NA,NA,NA,0.375,0,0.75,1,1
"380",2,2.4,1,1,3,2.125,NA,NA,NA,NA,NA,NA,0.5,0,0.75,1,1
"381",1,6.4,2,1,3,2.25,NA,NA,NA,NA,NA,NA,0.75,1,0.625,1,0
"382",2,3.7,2,1,2,2.75,NA,NA,NA,NA,NA,NA,0.75,1,0.5,0,0
"383",2,7.6,1,1,3,2.875,0.925925925925926,1.27777777777778,0.25,3,3.16666666666667,0.52,0.5,0,0.5,0,0
"384",1,1.9,1,2,4,2.5,0.391304347826087,1.11111111111111,0.875,2.16666666666667,2,0.740740740740741,0.25,0,0.5,0,1
"385",1,7.4,1,2,1,2.375,0.863636363636364,1.6,0.857142857142857,2.2,3.2,0.875,0.75,1,0,0,0
"386",2,12.4,2,2,2,3.25,0.695652173913043,0.111111111111111,1.5,2.5,2.5,1.44444444444444,0.571428571428571,1,0.571428571428571,1,0
